"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,1076053,1993
"Machinery",10,"Manufactured goods classified chiefly by material",106,1484906849,1993
"Machinery",10,"Machinery and transport equipment",107,7523467807,1993
"Machinery",10,"Miscellaneous manufactured articles",108,110824897,1993
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,17450064,1993
"Electronics",11,"Manufactured goods classified chiefly by material",116,12137750,1993
"Electronics",11,"Machinery and transport equipment",117,18118613017,1993
"Electronics",11,"Miscellaneous manufactured articles",118,2077771520,1993
"Aircraft",12,"Manufactured goods classified chiefly by material",126,227507,1993
"Aircraft",12,"Machinery and transport equipment",127,611118571,1993
"Boilers",13,"Manufactured goods classified chiefly by material",136,916355998,1993
"Boilers",13,"Machinery and transport equipment",137,369268408,1993
"Boilers",13,"Miscellaneous manufactured articles",138,2947036,1993
"Ships",14,"Chemicals and related products, n.e.s.",145,2828364,1993
"Ships",14,"Machinery and transport equipment",147,3086805133,1993
"Metal products",15,"Crude materials, inedible, except fuels",152,0,1993
"Metal products",15,"Chemicals and related products, n.e.s.",155,22368541,1993
"Metal products",15,"Manufactured goods classified chiefly by material",156,3860281892,1993
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,28506800,1993
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,1115055879,1993
"Construction materials and equipment",20,"Machinery and transport equipment",207,744363268,1993
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,180469581,1993
"Home and office products",21,"Manufactured goods classified chiefly by material",216,726026156,1993
"Home and office products",21,"Machinery and transport equipment",217,42428585,1993
"Home and office products",21,"Miscellaneous manufactured articles",218,625565039,1993
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,359332,1993
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,1418161,1993
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,214340894,1993
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,6093142,1993
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,29010208,1993
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,29285556,1993
"Food Processing",31,"Food and live animals chiefly for food",310,389772821,1993
"Food Processing",31,"Beverages and tobacco",311,27607016,1993
"Food Processing",31,"Crude materials, inedible, except fuels",312,3089071,1993
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,1821668,1993
"Food Processing",31,"Manufactured goods classified chiefly by material",316,74733154,1993
"Food Processing",31,"Miscellaneous manufactured articles",318,87136396,1993
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,2038277,1993
"Petrochemicals",40,"Chemicals and related products, n.e.s.",405,990649322,1993
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,38472011,1993
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,422668,1993
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,295134239,1993
"Other Chemicals",42,"Food and live animals chiefly for food",420,8116777,1993
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,5997,1993
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,4142165,1993
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,351065232,1993
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,375611970,1993
"Other Chemicals",42,"Miscellaneous manufactured articles",428,379049514,1993
"Agrochemicals",43,"Food and live animals chiefly for food",430,5686378,1993
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,6121797,1993
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,97892511,1993
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,60985420,1993
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,103043750,1993
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,1472609593,1993
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,1666741743,1993
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,19572169,1993
"Chemicals and health related products",44,"Machinery and transport equipment",447,25912053,1993
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,221105671,1993
"Coal",50,"Mineral fuels, lubricants and related materials",503,21467001,1993
"Mining",51,"Crude materials, inedible, except fuels",512,26781630,1993
"Mining",51,"Chemicals and related products, n.e.s.",515,9973897,1993
"Mining",51,"Manufactured goods classified chiefly by material",516,206021397,1993
"Mining",51,"Miscellaneous manufactured articles",518,51675228,1993
"Mining",51,"Commodities and transactions not classified elsewhere in the SITC",519,222495659,1993
"Oil",52,"Mineral fuels, lubricants and related materials",523,63943581,1993
"Precious Stones",54,"Crude materials, inedible, except fuels",542,106638,1993
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,9395192,1993
"Processed minerals",57,"Crude materials, inedible, except fuels",572,112112509,1993
"Processed minerals",57,"Mineral fuels, lubricants and related materials",573,0,1993
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,122375040,1993
"Processed minerals",57,"Miscellaneous manufactured articles",578,4759822,1993
"Textile & Fabrics",60,"Crude materials, inedible, except fuels",602,76004976,1993
"Textile & Fabrics",60,"Manufactured goods classified chiefly by material",606,6415517685,1993
"Garments",61,"Crude materials, inedible, except fuels",612,20351091,1993
"Garments",61,"Manufactured goods classified chiefly by material",616,944540321,1993
"Garments",61,"Miscellaneous manufactured articles",618,8800703978,1993
"Cereals and vegetable oils",70,"Food and live animals chiefly for food",700,1027158,1993
"Cereals and vegetable oils",70,"Crude materials, inedible, except fuels",702,770982,1993
"Cereals and vegetable oils",70,"Animal and vegetable oils, fats and waxes",704,4159533,1993
"Cereals and vegetable oils",70,"Chemicals and related products, n.e.s.",705,138160,1993
"Cotton, rice, soy beans and others",71,"Food and live animals chiefly for food",710,18407844,1993
"Cotton, rice, soy beans and others",71,"Crude materials, inedible, except fuels",712,6241225,1993
"Cotton, rice, soy beans and others",71,"Animal and vegetable oils, fats and waxes",714,16043,1993
"Cotton, rice, soy beans and others",71,"Manufactured goods classified chiefly by material",716,470641,1993
"Tropical treecrops and flowers",72,"Food and live animals chiefly for food",720,4522872,1993
"Tropical treecrops and flowers",72,"Crude materials, inedible, except fuels",722,15810542,1993
"Tropical treecrops and flowers",72,"Animal and vegetable oils, fats and waxes",724,136123,1993
"Tobacco",73,"Beverages and tobacco",731,21690356,1993
"Tobacco",73,"Crude materials, inedible, except fuels",732,20065,1993
"Fruit",74,"Food and live animals chiefly for food",740,7798689,1993
"Misc Agriculture",75,"Food and live animals chiefly for food",750,105850583,1993
"Misc Agriculture",75,"Crude materials, inedible, except fuels",752,254540857,1993
"Fish & Seafood",80,"Food and live animals chiefly for food",800,1272592316,1993
"Fish & Seafood",80,"Crude materials, inedible, except fuels",802,8126735,1993
"Fish & Seafood",80,"Animal and vegetable oils, fats and waxes",804,1459974,1993
"Meat and eggs",81,"Food and live animals chiefly for food",810,81721314,1993
"Meat and eggs",81,"Animal and vegetable oils, fats and waxes",814,218349,1993
"Meat and eggs",81,"Manufactured goods classified chiefly by material",816,4636637,1993
"Meat and eggs",81,"Miscellaneous manufactured articles",818,49557433,1993
"Animal Fibers",82,"Crude materials, inedible, except fuels",822,3027233,1993
"Animal Fibers",82,"Manufactured goods classified chiefly by material",826,84523637,1993
"Milk & cheese",83,"Food and live animals chiefly for food",830,1726658,1993
"Milk & cheese",83,"Crude materials, inedible, except fuels",832,424190,1993
"Milk & cheese",83,"Chemicals and related products, n.e.s.",835,30384389,1993
"Leather",84,"Crude materials, inedible, except fuels",842,22308522,1993
"Leather",84,"Manufactured goods classified chiefly by material",846,901343693,1993
"Not classified",90,"Crude materials, inedible, except fuels",902,412033637,1993
"Not classified",90,"Mineral fuels, lubricants and related materials",903,0,1993
"Not classified",90,"Chemicals and related products, n.e.s.",905,864748354,1993
"Not classified",90,"Manufactured goods classified chiefly by material",906,290764489,1993
"Not classified",90,"Machinery and transport equipment",907,50630958,1993
"Not classified",90,"Miscellaneous manufactured articles",908,562909190,1993
