"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Manufactured goods classified chiefly by material",106,43000,1962
"Machinery",10,"Machinery and transport equipment",107,680000,1962
"Machinery",10,"Miscellaneous manufactured articles",108,0,1962
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,8000,1962
"Electronics",11,"Manufactured goods classified chiefly by material",116,0,1962
"Electronics",11,"Machinery and transport equipment",117,87000,1962
"Electronics",11,"Miscellaneous manufactured articles",118,44000,1962
"Aircraft",12,"Machinery and transport equipment",127,0,1962
"Boilers",13,"Manufactured goods classified chiefly by material",136,3000,1962
"Boilers",13,"Machinery and transport equipment",137,0,1962
"Boilers",13,"Miscellaneous manufactured articles",138,3000,1962
"Ships",14,"Chemicals and related products, n.e.s.",145,0,1962
"Ships",14,"Machinery and transport equipment",147,1000,1962
"Metal products",15,"Crude materials, inedible, except fuels",152,762000,1962
"Metal products",15,"Chemicals and related products, n.e.s.",155,0,1962
"Metal products",15,"Manufactured goods classified chiefly by material",156,197000,1962
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,3000,1962
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,3381000,1962
"Construction materials and equipment",20,"Machinery and transport equipment",207,0,1962
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,8000,1962
"Home and office products",21,"Manufactured goods classified chiefly by material",216,308000,1962
"Home and office products",21,"Machinery and transport equipment",217,0,1962
"Home and office products",21,"Miscellaneous manufactured articles",218,14000,1962
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,0,1962
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,63000,1962
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,0,1962
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,90000,1962
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,51000,1962
"Food Processing",31,"Food and live animals chiefly for food",310,914000,1962
"Food Processing",31,"Beverages and tobacco",311,1000,1962
"Food Processing",31,"Manufactured goods classified chiefly by material",316,1000,1962
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,14000,1962
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,1000,1962
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,50000,1962
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,0,1962
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,261000,1962
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,65000,1962
"Other Chemicals",42,"Miscellaneous manufactured articles",428,35000,1962
"Agrochemicals",43,"Food and live animals chiefly for food",430,1000,1962
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,5000,1962
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,0,1962
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,0,1962
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,1000,1962
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,90000,1962
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,45000,1962
"Mining",51,"Crude materials, inedible, except fuels",512,8813000,1962
"Mining",51,"Chemicals and related products, n.e.s.",515,1000,1962
"Mining",51,"Manufactured goods classified chiefly by material",516,131000,1962
"Oil",52,"Mineral fuels, lubricants and related materials",523,1000,1962
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,50000,1962
"Processed minerals",57,"Crude materials, inedible, except fuels",572,3375000,1962
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,138000,1962
"Textile & Fabrics",60,"Crude materials, inedible, except fuels",602,3816000,1962
"Textile & Fabrics",60,"Manufactured goods classified chiefly by material",606,1586000,1962
"Garments",61,"Crude materials, inedible, except fuels",612,71000,1962
"Garments",61,"Manufactured goods classified chiefly by material",616,51000,1962
"Garments",61,"Miscellaneous manufactured articles",618,685000,1962
"Cereals and vegetable oils",70,"Food and live animals chiefly for food",700,123000,1962
"Cereals and vegetable oils",70,"Crude materials, inedible, except fuels",702,64000,1962
"Cereals and vegetable oils",70,"Animal and vegetable oils, fats and waxes",704,0,1962
"Cereals and vegetable oils",70,"Chemicals and related products, n.e.s.",705,42000,1962
"Cotton, rice, soy beans and others",71,"Food and live animals chiefly for food",710,6441000,1962
"Cotton, rice, soy beans and others",71,"Crude materials, inedible, except fuels",712,65000,1962
"Tropical treecrops and flowers",72,"Food and live animals chiefly for food",720,0,1962
"Tropical treecrops and flowers",72,"Crude materials, inedible, except fuels",722,13000,1962
"Tobacco",73,"Beverages and tobacco",731,113000,1962
"Fruit",74,"Food and live animals chiefly for food",740,73000,1962
"Misc Agriculture",75,"Food and live animals chiefly for food",750,256000,1962
"Misc Agriculture",75,"Crude materials, inedible, except fuels",752,3874000,1962
"Fish & Seafood",80,"Food and live animals chiefly for food",800,9816000,1962
"Fish & Seafood",80,"Crude materials, inedible, except fuels",802,124000,1962
"Fish & Seafood",80,"Animal and vegetable oils, fats and waxes",804,48000,1962
"Meat and eggs",81,"Food and live animals chiefly for food",810,1461000,1962
"Meat and eggs",81,"Animal and vegetable oils, fats and waxes",814,0,1962
"Meat and eggs",81,"Manufactured goods classified chiefly by material",816,5000,1962
"Animal Fibers",82,"Crude materials, inedible, except fuels",822,25000,1962
"Animal Fibers",82,"Manufactured goods classified chiefly by material",826,15000,1962
"Milk & cheese",83,"Food and live animals chiefly for food",830,0,1962
