"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,0,1969
"Machinery",10,"Manufactured goods classified chiefly by material",106,2243000,1969
"Machinery",10,"Machinery and transport equipment",107,2868000,1969
"Machinery",10,"Miscellaneous manufactured articles",108,0,1969
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,0,1969
"Electronics",11,"Manufactured goods classified chiefly by material",116,4000,1969
"Electronics",11,"Machinery and transport equipment",117,33672000,1969
"Electronics",11,"Miscellaneous manufactured articles",118,2623000,1969
"Aircraft",12,"Machinery and transport equipment",127,6000,1969
"Boilers",13,"Manufactured goods classified chiefly by material",136,407000,1969
"Boilers",13,"Machinery and transport equipment",137,1016000,1969
"Boilers",13,"Miscellaneous manufactured articles",138,44000,1969
"Ships",14,"Chemicals and related products, n.e.s.",145,702000,1969
"Ships",14,"Machinery and transport equipment",147,145000,1969
"Metal products",15,"Crude materials, inedible, except fuels",152,288000,1969
"Metal products",15,"Chemicals and related products, n.e.s.",155,26000,1969
"Metal products",15,"Manufactured goods classified chiefly by material",156,4050000,1969
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,251000,1969
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,81144000,1969
"Construction materials and equipment",20,"Machinery and transport equipment",207,66000,1969
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,1611000,1969
"Home and office products",21,"Manufactured goods classified chiefly by material",216,5410000,1969
"Home and office products",21,"Machinery and transport equipment",217,23000,1969
"Home and office products",21,"Miscellaneous manufactured articles",218,1074000,1969
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,0,1969
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,0,1969
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,15000,1969
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,0,1969
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,32000,1969
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,1000,1969
"Food Processing",31,"Food and live animals chiefly for food",310,3906000,1969
"Food Processing",31,"Beverages and tobacco",311,0,1969
"Food Processing",31,"Crude materials, inedible, except fuels",312,3000,1969
