"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,125000,1971
"Machinery",10,"Manufactured goods classified chiefly by material",106,36177000,1971
"Machinery",10,"Machinery and transport equipment",107,51005000,1971
"Machinery",10,"Miscellaneous manufactured articles",108,460000,1971
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,1000,1971
"Electronics",11,"Manufactured goods classified chiefly by material",116,909000,1971
"Electronics",11,"Machinery and transport equipment",117,9673000,1971
"Electronics",11,"Miscellaneous manufactured articles",118,28987000,1971
"Aircraft",12,"Machinery and transport equipment",127,11000,1971
"Boilers",13,"Manufactured goods classified chiefly by material",136,8375000,1971
"Boilers",13,"Machinery and transport equipment",137,2595000,1971
"Boilers",13,"Miscellaneous manufactured articles",138,284000,1971
"Ships",14,"Chemicals and related products, n.e.s.",145,215000,1971
"Ships",14,"Machinery and transport equipment",147,3725000,1971
"Metal products",15,"Crude materials, inedible, except fuels",152,2093000,1971
"Metal products",15,"Chemicals and related products, n.e.s.",155,651000,1971
"Metal products",15,"Manufactured goods classified chiefly by material",156,6952000,1971
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,2159000,1971
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,43771000,1971
"Construction materials and equipment",20,"Machinery and transport equipment",207,2623000,1971
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,12588000,1971
"Home and office products",21,"Manufactured goods classified chiefly by material",216,51334000,1971
"Home and office products",21,"Machinery and transport equipment",217,6515000,1971
"Home and office products",21,"Miscellaneous manufactured articles",218,21522000,1971
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,2000,1971
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,35460000,1971
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,20674000,1971
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,754000,1971
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,9534000,1971
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,3535000,1971
"Food Processing",31,"Food and live animals chiefly for food",310,100775000,1971
"Food Processing",31,"Beverages and tobacco",311,596000,1971
"Food Processing",31,"Crude materials, inedible, except fuels",312,31000,1971
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,652000,1971
"Food Processing",31,"Manufactured goods classified chiefly by material",316,343000,1971
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,0,1971
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,934000,1971
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,95000,1971
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,11745000,1971
"Other Chemicals",42,"Food and live animals chiefly for food",420,1343000,1971
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,911000,1971
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,4198000,1971
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,17180000,1971
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,6202000,1971
"Other Chemicals",42,"Miscellaneous manufactured articles",428,210000,1971
"Agrochemicals",43,"Food and live animals chiefly for food",430,0,1971
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,81000,1971
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,7000,1971
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,2174000,1971
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,1000,1971
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,304000,1971
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,23155000,1971
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,23907000,1971
"Chemicals and health related products",44,"Machinery and transport equipment",447,143000,1971
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,2047000,1971
"Coal",50,"Mineral fuels, lubricants and related materials",503,1915000,1971
"Mining",51,"Crude materials, inedible, except fuels",512,17113000,1971
"Mining",51,"Chemicals and related products, n.e.s.",515,4183000,1971
"Mining",51,"Manufactured goods classified chiefly by material",516,11070000,1971
"Mining",51,"Miscellaneous manufactured articles",518,4586000,1971
"Oil",52,"Mineral fuels, lubricants and related materials",523,1766000,1971
"Precious Stones",54,"Crude materials, inedible, except fuels",542,577000,1971
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,7002000,1971
"Processed minerals",57,"Crude materials, inedible, except fuels",572,31495000,1971
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,2184000,1971
"Textile & Fabrics",60,"Crude materials, inedible, except fuels",602,97081000,1971
"Textile & Fabrics",60,"Manufactured goods classified chiefly by material",606,234738000,1971
"Garments",61,"Crude materials, inedible, except fuels",612,282000,1971
"Garments",61,"Manufactured goods classified chiefly by material",616,66639000,1971
"Garments",61,"Miscellaneous manufactured articles",618,121332000,1971
"Cereals and vegetable oils",70,"Food and live animals chiefly for food",700,12501000,1971
"Cereals and vegetable oils",70,"Crude materials, inedible, except fuels",702,68324000,1971
"Cereals and vegetable oils",70,"Animal and vegetable oils, fats and waxes",704,16644000,1971
"Cereals and vegetable oils",70,"Chemicals and related products, n.e.s.",705,8794000,1971
"Cotton, rice, soy beans and others",71,"Food and live animals chiefly for food",710,132617000,1971
"Cotton, rice, soy beans and others",71,"Crude materials, inedible, except fuels",712,16348000,1971
"Cotton, rice, soy beans and others",71,"Animal and vegetable oils, fats and waxes",714,1047000,1971
"Cotton, rice, soy beans and others",71,"Manufactured goods classified chiefly by material",716,122000,1971
"Tropical treecrops and flowers",72,"Food and live animals chiefly for food",720,1220000,1971
"Tropical treecrops and flowers",72,"Crude materials, inedible, except fuels",722,1514000,1971
"Tropical treecrops and flowers",72,"Animal and vegetable oils, fats and waxes",724,234000,1971
"Tobacco",73,"Beverages and tobacco",731,4728000,1971
"Tobacco",73,"Crude materials, inedible, except fuels",732,8000,1971
"Fruit",74,"Food and live animals chiefly for food",740,14782000,1971
"Misc Agriculture",75,"Food and live animals chiefly for food",750,79176000,1971
"Misc Agriculture",75,"Crude materials, inedible, except fuels",752,35877000,1971
"Fish & Seafood",80,"Food and live animals chiefly for food",800,71146000,1971
"Fish & Seafood",80,"Crude materials, inedible, except fuels",802,778000,1971
"Fish & Seafood",80,"Animal and vegetable oils, fats and waxes",804,3000,1971
"Meat and eggs",81,"Food and live animals chiefly for food",810,217328000,1971
"Meat and eggs",81,"Animal and vegetable oils, fats and waxes",814,10000,1971
"Meat and eggs",81,"Manufactured goods classified chiefly by material",816,12887000,1971
"Meat and eggs",81,"Miscellaneous manufactured articles",818,1000,1971
"Animal Fibers",82,"Crude materials, inedible, except fuels",822,15946000,1971
