"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,316634,1985
"Machinery",10,"Manufactured goods classified chiefly by material",106,213191743,1985
"Machinery",10,"Machinery and transport equipment",107,290219164,1985
"Machinery",10,"Miscellaneous manufactured articles",108,5661535,1985
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,491456,1985
"Electronics",11,"Manufactured goods classified chiefly by material",116,4416842,1985
"Electronics",11,"Machinery and transport equipment",117,396538622,1985
"Electronics",11,"Miscellaneous manufactured articles",118,733316842,1985
"Aircraft",12,"Manufactured goods classified chiefly by material",126,51620,1985
"Aircraft",12,"Machinery and transport equipment",127,12251293,1985
"Boilers",13,"Manufactured goods classified chiefly by material",136,23432468,1985
"Boilers",13,"Machinery and transport equipment",137,33719906,1985
"Boilers",13,"Miscellaneous manufactured articles",138,1383248,1985
"Ships",14,"Chemicals and related products, n.e.s.",145,10350493,1985
"Ships",14,"Machinery and transport equipment",147,17809713,1985
"Metal products",15,"Chemicals and related products, n.e.s.",155,10754651,1985
"Metal products",15,"Manufactured goods classified chiefly by material",156,37741994,1985
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,16929614,1985
"Construction materials and equipment",20,"Mineral fuels, lubricants and related materials",203,0,1985
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,145951300,1985
"Construction materials and equipment",20,"Machinery and transport equipment",207,16016059,1985
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,141707185,1985
"Home and office products",21,"Manufactured goods classified chiefly by material",216,358432821,1985
"Home and office products",21,"Machinery and transport equipment",217,10578928,1985
"Home and office products",21,"Miscellaneous manufactured articles",218,267037651,1985
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,774838,1985
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,56516566,1985
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,63482078,1985
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,3162382,1985
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,33332010,1985
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,5499608,1985
"Food Processing",31,"Food and live animals chiefly for food",310,670709517,1985
"Food Processing",31,"Beverages and tobacco",311,40084448,1985
"Food Processing",31,"Crude materials, inedible, except fuels",312,12458,1985
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,847097,1985
"Food Processing",31,"Manufactured goods classified chiefly by material",316,4732455,1985
"Food Processing",31,"Miscellaneous manufactured articles",318,10290623,1985
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,95558,1985
"Petrochemicals",40,"Chemicals and related products, n.e.s.",405,13161828,1985
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,5494853,1985
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,4647741,1985
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,131512920,1985
"Other Chemicals",42,"Food and live animals chiefly for food",420,33049374,1985
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,10497969,1985
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,32787914,1985
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,234924711,1985
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,50178976,1985
"Other Chemicals",42,"Miscellaneous manufactured articles",428,47009646,1985
"Agrochemicals",43,"Food and live animals chiefly for food",430,36055,1985
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,712552,1985
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,29067315,1985
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,25936026,1985
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,1431727,1985
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,1314357748,1985
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,433317793,1985
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,153063299,1985
"Chemicals and health related products",44,"Machinery and transport equipment",447,1719281,1985
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,41040606,1985
"Coal",50,"Mineral fuels, lubricants and related materials",503,227621075,1985
"Mining",51,"Crude materials, inedible, except fuels",512,109266181,1985
"Mining",51,"Chemicals and related products, n.e.s.",515,65426324,1985
"Mining",51,"Manufactured goods classified chiefly by material",516,68762122,1985
"Mining",51,"Miscellaneous manufactured articles",518,50476089,1985
"Mining",51,"Commodities and transactions not classified elsewhere in the SITC",519,1138994,1985
"Oil",52,"Mineral fuels, lubricants and related materials",523,4423494237,1985
"Precious Stones",54,"Crude materials, inedible, except fuels",542,883844,1985
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,17337516,1985
"Processed minerals",57,"Crude materials, inedible, except fuels",572,295263928,1985
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,38088749,1985
"Processed minerals",57,"Miscellaneous manufactured articles",578,70123,1985
"Textile & Fabrics",60,"Crude materials, inedible, except fuels",602,321894105,1985
"Textile & Fabrics",60,"Manufactured goods classified chiefly by material",606,2469490587,1985
"Garments",61,"Crude materials, inedible, except fuels",612,5820281,1985
"Garments",61,"Manufactured goods classified chiefly by material",616,644348655,1985
"Garments",61,"Miscellaneous manufactured articles",618,4113761343,1985
"Cereals and vegetable oils",70,"Food and live animals chiefly for food",700,507659740,1985
"Cereals and vegetable oils",70,"Crude materials, inedible, except fuels",702,180492985,1985
"Cereals and vegetable oils",70,"Animal and vegetable oils, fats and waxes",704,75806199,1985
"Cereals and vegetable oils",70,"Chemicals and related products, n.e.s.",705,57755456,1985
"Cotton, rice, soy beans and others",71,"Food and live animals chiefly for food",710,471758199,1985
