"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,49000,1979
"Machinery",10,"Manufactured goods classified chiefly by material",106,169985000,1979
"Machinery",10,"Machinery and transport equipment",107,230700000,1979
"Machinery",10,"Miscellaneous manufactured articles",108,1618000,1979
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,92000,1979
"Electronics",11,"Manufactured goods classified chiefly by material",116,3289000,1979
"Electronics",11,"Machinery and transport equipment",117,87262000,1979
"Electronics",11,"Miscellaneous manufactured articles",118,164621000,1979
"Aircraft",12,"Machinery and transport equipment",127,9992000,1979
"Boilers",13,"Manufactured goods classified chiefly by material",136,35174000,1979
"Boilers",13,"Machinery and transport equipment",137,19693000,1979
"Boilers",13,"Miscellaneous manufactured articles",138,5524000,1979
"Ships",14,"Chemicals and related products, n.e.s.",145,5802000,1979
"Ships",14,"Machinery and transport equipment",147,805000,1979
"Metal products",15,"Crude materials, inedible, except fuels",152,427000,1979
"Metal products",15,"Chemicals and related products, n.e.s.",155,6094000,1979
"Metal products",15,"Manufactured goods classified chiefly by material",156,78662000,1979
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,27701000,1979
"Construction materials and equipment",20,"Mineral fuels, lubricants and related materials",203,0,1979
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,214602000,1979
"Construction materials and equipment",20,"Machinery and transport equipment",207,28805000,1979
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,112912000,1979
"Home and office products",21,"Manufactured goods classified chiefly by material",216,268123000,1979
"Home and office products",21,"Machinery and transport equipment",217,41962000,1979
"Home and office products",21,"Miscellaneous manufactured articles",218,113296000,1979
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,110000,1979
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,91537000,1979
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,60437000,1979
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,6018000,1979
