"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,0,1962
"Machinery",10,"Manufactured goods classified chiefly by material",106,6040000,1962
"Machinery",10,"Machinery and transport equipment",107,2343000,1962
"Machinery",10,"Miscellaneous manufactured articles",108,13000,1962
"Electronics",11,"Manufactured goods classified chiefly by material",116,37000,1962
"Electronics",11,"Machinery and transport equipment",117,990000,1962
"Electronics",11,"Miscellaneous manufactured articles",118,3016000,1962
"Aircraft",12,"Machinery and transport equipment",127,1000,1962
"Boilers",13,"Manufactured goods classified chiefly by material",136,1214000,1962
"Boilers",13,"Machinery and transport equipment",137,298000,1962
"Boilers",13,"Miscellaneous manufactured articles",138,6000,1962
"Ships",14,"Chemicals and related products, n.e.s.",145,0,1962
"Ships",14,"Machinery and transport equipment",147,962000,1962
"Metal products",15,"Crude materials, inedible, except fuels",152,1427000,1962
"Metal products",15,"Chemicals and related products, n.e.s.",155,146000,1962
"Metal products",15,"Manufactured goods classified chiefly by material",156,2565000,1962
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,522000,1962
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,16589000,1962
"Construction materials and equipment",20,"Machinery and transport equipment",207,331000,1962
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,1029000,1962
"Home and office products",21,"Manufactured goods classified chiefly by material",216,9130000,1962
"Home and office products",21,"Machinery and transport equipment",217,701000,1962
"Home and office products",21,"Miscellaneous manufactured articles",218,4127000,1962
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,127000,1962
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,1580000,1962
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,5616000,1962
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,94000,1962
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,1480000,1962
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,637000,1962
