"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,0,1980
"Machinery",10,"Manufactured goods classified chiefly by material",106,53000,1980
"Machinery",10,"Machinery and transport equipment",107,1339000,1980
"Machinery",10,"Miscellaneous manufactured articles",108,1000,1980
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,0,1980
"Electronics",11,"Manufactured goods classified chiefly by material",116,0,1980
"Electronics",11,"Machinery and transport equipment",117,227000,1980
"Electronics",11,"Miscellaneous manufactured articles",118,84000,1980
"Boilers",13,"Manufactured goods classified chiefly by material",136,88000,1980
"Boilers",13,"Machinery and transport equipment",137,4000,1980
"Boilers",13,"Miscellaneous manufactured articles",138,1000,1980
"Ships",14,"Chemicals and related products, n.e.s.",145,4000,1980
"Ships",14,"Machinery and transport equipment",147,12000,1980
"Metal products",15,"Chemicals and related products, n.e.s.",155,0,1980
"Metal products",15,"Manufactured goods classified chiefly by material",156,4000,1980
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,892000,1980
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,1050000,1980
"Construction materials and equipment",20,"Machinery and transport equipment",207,6000,1980
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,353000,1980
"Home and office products",21,"Manufactured goods classified chiefly by material",216,860000,1980
"Home and office products",21,"Machinery and transport equipment",217,0,1980
"Home and office products",21,"Miscellaneous manufactured articles",218,257000,1980
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,0,1980
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,0,1980
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,59000,1980
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,0,1980
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,10000,1980
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,0,1980
"Food Processing",31,"Food and live animals chiefly for food",310,1351000,1980
"Food Processing",31,"Beverages and tobacco",311,7000,1980
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,0,1980
"Food Processing",31,"Manufactured goods classified chiefly by material",316,0,1980
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,0,1980
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,0,1980
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,89000,1980
"Other Chemicals",42,"Food and live animals chiefly for food",420,17000,1980
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,0,1980
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,176000,1980
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,35000,1980
"Other Chemicals",42,"Miscellaneous manufactured articles",428,31000,1980
"Agrochemicals",43,"Food and live animals chiefly for food",430,2000,1980
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,0,1980
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,0,1980
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,0,1980
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,2807000,1980
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,673000,1980
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,122000,1980
"Chemicals and health related products",44,"Machinery and transport equipment",447,6000,1980
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,30000,1980
"Coal",50,"Mineral fuels, lubricants and related materials",503,338000,1980
"Mining",51,"Crude materials, inedible, except fuels",512,759000,1980
"Mining",51,"Chemicals and related products, n.e.s.",515,0,1980
"Mining",51,"Manufactured goods classified chiefly by material",516,0,1980
"Mining",51,"Miscellaneous manufactured articles",518,135000,1980
"Oil",52,"Mineral fuels, lubricants and related materials",523,0,1980
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,2000,1980
"Processed minerals",57,"Crude materials, inedible, except fuels",572,83000,1980
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,0,1980
"Textile & Fabrics",60,"Manufactured goods classified chiefly by material",606,1845000,1980
"Garments",61,"Crude materials, inedible, except fuels",612,0,1980
"Garments",61,"Manufactured goods classified chiefly by material",616,2512000,1980
"Garments",61,"Miscellaneous manufactured articles",618,7655000,1980
"Cereals and vegetable oils",70,"Food and live animals chiefly for food",700,592000,1980
"Cereals and vegetable oils",70,"Crude materials, inedible, except fuels",702,641000,1980
"Cereals and vegetable oils",70,"Animal and vegetable oils, fats and waxes",704,112000,1980
"Cereals and vegetable oils",70,"Chemicals and related products, n.e.s.",705,762000,1980
"Cotton, rice, soy beans and others",71,"Food and live animals chiefly for food",710,3601000,1980
"Cotton, rice, soy beans and others",71,"Crude materials, inedible, except fuels",712,460000,1980
"Tropical treecrops and flowers",72,"Food and live animals chiefly for food",720,0,1980
"Tropical treecrops and flowers",72,"Crude materials, inedible, except fuels",722,21727000,1980
"Tropical treecrops and flowers",72,"Animal and vegetable oils, fats and waxes",724,0,1980
"Tobacco",73,"Beverages and tobacco",731,13000,1980
"Fruit",74,"Food and live animals chiefly for food",740,4000,1980
"Misc Agriculture",75,"Food and live animals chiefly for food",750,13060000,1980
"Misc Agriculture",75,"Crude materials, inedible, except fuels",752,3017000,1980
"Fish & Seafood",80,"Food and live animals chiefly for food",800,18364000,1980
"Fish & Seafood",80,"Crude materials, inedible, except fuels",802,171000,1980
"Meat and eggs",81,"Food and live animals chiefly for food",810,411000,1980
"Meat and eggs",81,"Animal and vegetable oils, fats and waxes",814,0,1980
"Animal Fibers",82,"Manufactured goods classified chiefly by material",826,0,1980
"Milk & cheese",83,"Food and live animals chiefly for food",830,0,1980
"Milk & cheese",83,"Chemicals and related products, n.e.s.",835,0,1980
"Leather",84,"Crude materials, inedible, except fuels",842,6176000,1980
"Leather",84,"Manufactured goods classified chiefly by material",846,0,1980
"Not classified",90,"Crude materials, inedible, except fuels",902,0,1980
"Not classified",90,"Mineral fuels, lubricants and related materials",903,36751000,1980
"Not classified",90,"Manufactured goods classified chiefly by material",906,22000,1980
"Not classified",90,"Machinery and transport equipment",907,0,1980
"Not classified",90,"Miscellaneous manufactured articles",908,439000,1980
"Not classified",90,"Commodities and transactions not classified elsewhere in the SITC",909,48000,1980
