"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,0,1999
"Machinery",10,"Manufactured goods classified chiefly by material",106,23400956,1999
"Machinery",10,"Machinery and transport equipment",107,273513594,1999
"Machinery",10,"Miscellaneous manufactured articles",108,4846656,1999
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,0,1999
"Electronics",11,"Manufactured goods classified chiefly by material",116,514531,1999
"Electronics",11,"Machinery and transport equipment",117,209849805,1999
"Electronics",11,"Miscellaneous manufactured articles",118,124703357,1999
"Aircraft",12,"Manufactured goods classified chiefly by material",126,19100,1999
"Aircraft",12,"Machinery and transport equipment",127,3881455,1999
"Boilers",13,"Manufactured goods classified chiefly by material",136,14383187,1999
"Boilers",13,"Machinery and transport equipment",137,10865075,1999
"Boilers",13,"Miscellaneous manufactured articles",138,441099,1999
"Ships",14,"Chemicals and related products, n.e.s.",145,75154,1999
"Ships",14,"Machinery and transport equipment",147,138408,1999
"Metal products",15,"Chemicals and related products, n.e.s.",155,178305,1999
"Metal products",15,"Manufactured goods classified chiefly by material",156,6479869,1999
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,40353289,1999
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,62038391,1999
"Construction materials and equipment",20,"Machinery and transport equipment",207,79222239,1999
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,262586479,1999
"Home and office products",21,"Manufactured goods classified chiefly by material",216,108474080,1999
"Home and office products",21,"Machinery and transport equipment",217,31486947,1999
"Home and office products",21,"Miscellaneous manufactured articles",218,25823211,1999
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,11231,1999
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,920766,1999
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,503969,1999
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,1297,1999
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,2969010,1999
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,458329,1999
"Food Processing",31,"Food and live animals chiefly for food",310,93688969,1999
