"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,837000,1974
"Machinery",10,"Manufactured goods classified chiefly by material",106,2637539000,1974
"Machinery",10,"Machinery and transport equipment",107,13624876000,1974
"Machinery",10,"Miscellaneous manufactured articles",108,249746000,1974
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,5556000,1974
"Electronics",11,"Manufactured goods classified chiefly by material",116,23558000,1974
"Electronics",11,"Machinery and transport equipment",117,6541823000,1974
"Electronics",11,"Miscellaneous manufactured articles",118,1678850000,1974
"Aircraft",12,"Manufactured goods classified chiefly by material",126,243000,1974
"Aircraft",12,"Machinery and transport equipment",127,55749000,1974
"Boilers",13,"Manufactured goods classified chiefly by material",136,623472000,1974
"Boilers",13,"Machinery and transport equipment",137,147956000,1974
"Boilers",13,"Miscellaneous manufactured articles",138,158232000,1974
"Ships",14,"Chemicals and related products, n.e.s.",145,43512000,1974
"Ships",14,"Machinery and transport equipment",147,1656519000,1974
"Metal products",15,"Crude materials, inedible, except fuels",152,15552000,1974
"Metal products",15,"Chemicals and related products, n.e.s.",155,47151000,1974
"Metal products",15,"Manufactured goods classified chiefly by material",156,7908619000,1974
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,38207000,1974
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,1575406000,1974
"Construction materials and equipment",20,"Machinery and transport equipment",207,313006000,1974
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,144989000,1974
"Home and office products",21,"Manufactured goods classified chiefly by material",216,728269000,1974
"Home and office products",21,"Machinery and transport equipment",217,143883000,1974
"Home and office products",21,"Miscellaneous manufactured articles",218,584079000,1974
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,95551000,1974
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,6644000,1974
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,307237000,1974
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,3453000,1974
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,8867000,1974
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,180731000,1974
"Food Processing",31,"Food and live animals chiefly for food",310,169674000,1974
"Food Processing",31,"Beverages and tobacco",311,6104000,1974
"Food Processing",31,"Crude materials, inedible, except fuels",312,115000,1974
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,7159000,1974
"Food Processing",31,"Manufactured goods classified chiefly by material",316,28673000,1974
"Food Processing",31,"Miscellaneous manufactured articles",318,1631000,1974
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,2019000,1974
"Petrochemicals",40,"Chemicals and related products, n.e.s.",405,12385000,1974
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,33063000,1974
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,304000,1974
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,275045000,1974
"Other Chemicals",42,"Food and live animals chiefly for food",420,5937000,1974
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,22000,1974
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,14324000,1974
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,175020000,1974
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,271812000,1974
"Other Chemicals",42,"Miscellaneous manufactured articles",428,58954000,1974
"Agrochemicals",43,"Food and live animals chiefly for food",430,143000,1974
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,5208000,1974
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,13522000,1974
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,294436000,1974
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,294381000,1974
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,87313000,1974
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,2748437000,1974
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,23255000,1974
"Chemicals and health related products",44,"Machinery and transport equipment",447,45075000,1974
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,435611000,1974
"Coal",50,"Mineral fuels, lubricants and related materials",503,37808000,1974
"Mining",51,"Crude materials, inedible, except fuels",512,21183000,1974
"Mining",51,"Chemicals and related products, n.e.s.",515,64317000,1974
"Mining",51,"Manufactured goods classified chiefly by material",516,683104000,1974
"Mining",51,"Miscellaneous manufactured articles",518,26374000,1974
"Oil",52,"Mineral fuels, lubricants and related materials",523,52953000,1974
"Precious Stones",54,"Crude materials, inedible, except fuels",542,4600000,1974
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,31455000,1974
"Processed minerals",57,"Crude materials, inedible, except fuels",572,42147000,1974
"Processed minerals",57,"Mineral fuels, lubricants and related materials",573,36000,1974
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,269608000,1974
"Textile & Fabrics",60,"Crude materials, inedible, except fuels",602,6107000,1974
"Textile & Fabrics",60,"Manufactured goods classified chiefly by material",606,2623766000,1974
"Garments",61,"Crude materials, inedible, except fuels",612,31250000,1974
"Garments",61,"Manufactured goods classified chiefly by material",616,205477000,1974
"Garments",61,"Miscellaneous manufactured articles",618,488308000,1974
"Cereals and vegetable oils",70,"Food and live animals chiefly for food",700,4538000,1974
"Cereals and vegetable oils",70,"Crude materials, inedible, except fuels",702,276000,1974
"Cereals and vegetable oils",70,"Animal and vegetable oils, fats and waxes",704,16568000,1974
"Cereals and vegetable oils",70,"Chemicals and related products, n.e.s.",705,11822000,1974
"Cotton, rice, soy beans and others",71,"Food and live animals chiefly for food",710,70731000,1974
"Cotton, rice, soy beans and others",71,"Crude materials, inedible, except fuels",712,32044000,1974
"Cotton, rice, soy beans and others",71,"Animal and vegetable oils, fats and waxes",714,20000,1974
"Cotton, rice, soy beans and others",71,"Manufactured goods classified chiefly by material",716,1549000,1974
"Tropical treecrops and flowers",72,"Food and live animals chiefly for food",720,8614000,1974
"Tropical treecrops and flowers",72,"Crude materials, inedible, except fuels",722,20623000,1974
"Tropical treecrops and flowers",72,"Animal and vegetable oils, fats and waxes",724,2425000,1974
"Tobacco",73,"Beverages and tobacco",731,6104000,1974
"Tobacco",73,"Crude materials, inedible, except fuels",732,103000,1974
"Fruit",74,"Food and live animals chiefly for food",740,11390000,1974
"Misc Agriculture",75,"Food and live animals chiefly for food",750,19870000,1974
"Misc Agriculture",75,"Crude materials, inedible, except fuels",752,29303000,1974
"Fish & Seafood",80,"Food and live animals chiefly for food",800,664977000,1974
"Fish & Seafood",80,"Crude materials, inedible, except fuels",802,3087000,1974
"Fish & Seafood",80,"Animal and vegetable oils, fats and waxes",804,60603000,1974
"Meat and eggs",81,"Food and live animals chiefly for food",810,10979000,1974
"Meat and eggs",81,"Animal and vegetable oils, fats and waxes",814,4578000,1974
"Meat and eggs",81,"Manufactured goods classified chiefly by material",816,2196000,1974
"Meat and eggs",81,"Miscellaneous manufactured articles",818,785000,1974
"Animal Fibers",82,"Crude materials, inedible, except fuels",822,12240000,1974
"Animal Fibers",82,"Manufactured goods classified chiefly by material",826,73249000,1974
"Milk & cheese",83,"Food and live animals chiefly for food",830,8668000,1974
"Milk & cheese",83,"Crude materials, inedible, except fuels",832,1481000,1974
"Milk & cheese",83,"Chemicals and related products, n.e.s.",835,13473000,1974
"Leather",84,"Crude materials, inedible, except fuels",842,11443000,1974
"Leather",84,"Manufactured goods classified chiefly by material",846,95827000,1974
"Not classified",90,"Crude materials, inedible, except fuels",902,544527000,1974
"Not classified",90,"Mineral fuels, lubricants and related materials",903,3734000,1974
"Not classified",90,"Chemicals and related products, n.e.s.",905,2534000,1974
"Not classified",90,"Manufactured goods classified chiefly by material",906,120752000,1974
"Not classified",90,"Machinery and transport equipment",907,151029000,1974
"Not classified",90,"Miscellaneous manufactured articles",908,199896000,1974
"Not classified",90,"Commodities and transactions not classified elsewhere in the SITC",909,392718000,1974
