"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,930000,1981
"Machinery",10,"Manufactured goods classified chiefly by material",106,7535181000,1981
"Machinery",10,"Machinery and transport equipment",107,60260301000,1981
"Machinery",10,"Miscellaneous manufactured articles",108,442524000,1981
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,19971000,1981
"Electronics",11,"Manufactured goods classified chiefly by material",116,87353000,1981
"Electronics",11,"Machinery and transport equipment",117,27171938000,1981
"Electronics",11,"Miscellaneous manufactured articles",118,7714292000,1981
"Aircraft",12,"Machinery and transport equipment",127,340684000,1981
"Boilers",13,"Manufactured goods classified chiefly by material",136,1090391000,1981
"Boilers",13,"Machinery and transport equipment",137,570302000,1981
"Boilers",13,"Miscellaneous manufactured articles",138,574509000,1981
"Ships",14,"Chemicals and related products, n.e.s.",145,42682000,1981
"Ships",14,"Machinery and transport equipment",147,2315158000,1981
"Metal products",15,"Crude materials, inedible, except fuels",152,22694000,1981
"Metal products",15,"Chemicals and related products, n.e.s.",155,94059000,1981
"Metal products",15,"Manufactured goods classified chiefly by material",156,11838976000,1981
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,43396000,1981
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,3949018000,1981
"Construction materials and equipment",20,"Machinery and transport equipment",207,2038276000,1981
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,469109000,1981
"Home and office products",21,"Manufactured goods classified chiefly by material",216,1842111000,1981
"Home and office products",21,"Machinery and transport equipment",217,707101000,1981
"Home and office products",21,"Miscellaneous manufactured articles",218,2385928000,1981
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,59774000,1981
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,7992000,1981
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,515980000,1981
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,3463000,1981
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,27033000,1981
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,267537000,1981
"Food Processing",31,"Food and live animals chiefly for food",310,402839000,1981
"Food Processing",31,"Beverages and tobacco",311,81761000,1981
"Food Processing",31,"Crude materials, inedible, except fuels",312,305000,1981
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,18446000,1981
"Food Processing",31,"Manufactured goods classified chiefly by material",316,24098000,1981
"Food Processing",31,"Miscellaneous manufactured articles",318,8393000,1981
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,3049000,1981
"Petrochemicals",40,"Chemicals and related products, n.e.s.",405,49350000,1981
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,122234000,1981
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,2815000,1981
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,567878000,1981
