"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,441000,1966
"Machinery",10,"Manufactured goods classified chiefly by material",106,443837000,1966
"Machinery",10,"Machinery and transport equipment",107,1409126000,1966
"Machinery",10,"Miscellaneous manufactured articles",108,55300000,1966
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,4156000,1966
"Electronics",11,"Manufactured goods classified chiefly by material",116,4199000,1966
"Electronics",11,"Machinery and transport equipment",117,907862000,1966
"Electronics",11,"Miscellaneous manufactured articles",118,398130000,1966
"Aircraft",12,"Machinery and transport equipment",127,10520000,1966
"Boilers",13,"Manufactured goods classified chiefly by material",136,104424000,1966
"Boilers",13,"Machinery and transport equipment",137,39799000,1966
"Boilers",13,"Miscellaneous manufactured articles",138,31904000,1966
"Ships",14,"Chemicals and related products, n.e.s.",145,7000000,1966
"Ships",14,"Machinery and transport equipment",147,676959000,1966
"Metal products",15,"Crude materials, inedible, except fuels",152,4033000,1966
"Metal products",15,"Chemicals and related products, n.e.s.",155,19313000,1966
"Metal products",15,"Manufactured goods classified chiefly by material",156,973532000,1966
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,23343000,1966
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,391599000,1966
"Construction materials and equipment",20,"Machinery and transport equipment",207,76712000,1966
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,68029000,1966
"Home and office products",21,"Manufactured goods classified chiefly by material",216,206770000,1966
"Home and office products",21,"Machinery and transport equipment",217,20648000,1966
"Home and office products",21,"Miscellaneous manufactured articles",218,94937000,1966
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,1095000,1966
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,583000,1966
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,53213000,1966
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,50000,1966
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,2052000,1966
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,13446000,1966
"Food Processing",31,"Food and live animals chiefly for food",310,77194000,1966
"Food Processing",31,"Beverages and tobacco",311,190000,1966
"Food Processing",31,"Crude materials, inedible, except fuels",312,8000,1966
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,513000,1966
"Food Processing",31,"Manufactured goods classified chiefly by material",316,2260000,1966
