"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,466000,1965
"Machinery",10,"Manufactured goods classified chiefly by material",106,412437000,1965
"Machinery",10,"Machinery and transport equipment",107,1127255000,1965
"Machinery",10,"Miscellaneous manufactured articles",108,39694000,1965
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,541000,1965
"Electronics",11,"Manufactured goods classified chiefly by material",116,4091000,1965
"Electronics",11,"Machinery and transport equipment",117,684958000,1965
"Electronics",11,"Miscellaneous manufactured articles",118,351888000,1965
"Aircraft",12,"Machinery and transport equipment",127,6778000,1965
"Boilers",13,"Manufactured goods classified chiefly by material",136,95667000,1965
"Boilers",13,"Machinery and transport equipment",137,24737000,1965
"Boilers",13,"Miscellaneous manufactured articles",138,22807000,1965
"Ships",14,"Chemicals and related products, n.e.s.",145,8210000,1965
"Ships",14,"Machinery and transport equipment",147,604297000,1965
"Metal products",15,"Crude materials, inedible, except fuels",152,9061000,1965
"Metal products",15,"Chemicals and related products, n.e.s.",155,19562000,1965
"Metal products",15,"Manufactured goods classified chiefly by material",156,1009653000,1965
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,21275000,1965
"Construction materials and equipment",20,"Mineral fuels, lubricants and related materials",203,2000,1965
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,370721000,1965
"Construction materials and equipment",20,"Machinery and transport equipment",207,54003000,1965
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,66308000,1965
"Home and office products",21,"Manufactured goods classified chiefly by material",216,188290000,1965
"Home and office products",21,"Machinery and transport equipment",217,20740000,1965
"Home and office products",21,"Miscellaneous manufactured articles",218,75660000,1965
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,822000,1965
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,589000,1965
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,42186000,1965
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,9000,1965
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,1918000,1965
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,8255000,1965
"Food Processing",31,"Food and live animals chiefly for food",310,79044000,1965
"Food Processing",31,"Beverages and tobacco",311,145000,1965
"Food Processing",31,"Crude materials, inedible, except fuels",312,7000,1965
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,301000,1965
"Food Processing",31,"Manufactured goods classified chiefly by material",316,2924000,1965
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,114000,1965
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,5807000,1965
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,181000,1965
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,55923000,1965
"Other Chemicals",42,"Food and live animals chiefly for food",420,653000,1965
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,41000,1965
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,1806000,1965
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,25789000,1965
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,35522000,1965
"Other Chemicals",42,"Miscellaneous manufactured articles",428,11867000,1965
"Agrochemicals",43,"Food and live animals chiefly for food",430,2000,1965
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,440000,1965
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,1217000,1965
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,96399000,1965
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,46005000,1965
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,3233000,1965
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,287421000,1965
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,4775000,1965
"Chemicals and health related products",44,"Machinery and transport equipment",447,2703000,1965
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,45850000,1965
"Coal",50,"Mineral fuels, lubricants and related materials",503,1077000,1965
"Mining",51,"Crude materials, inedible, except fuels",512,2227000,1965
"Mining",51,"Chemicals and related products, n.e.s.",515,15060000,1965
"Mining",51,"Manufactured goods classified chiefly by material",516,46468000,1965
"Mining",51,"Miscellaneous manufactured articles",518,15247000,1965
"Oil",52,"Mineral fuels, lubricants and related materials",523,21813000,1965
"Precious Stones",54,"Crude materials, inedible, except fuels",542,822000,1965
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,10567000,1965
"Processed minerals",57,"Crude materials, inedible, except fuels",572,4929000,1965
"Processed minerals",57,"Mineral fuels, lubricants and related materials",573,4000,1965
"Processed minerals",57,"Manufactured goods classified chiefly by material",576,91308000,1965
"Textile & Fabrics",60,"Crude materials, inedible, except fuels",602,17844000,1965
"Textile & Fabrics",60,"Manufactured goods classified chiefly by material",606,985142000,1965
"Garments",61,"Crude materials, inedible, except fuels",612,10304000,1965
"Garments",61,"Manufactured goods classified chiefly by material",616,129309000,1965
"Garments",61,"Miscellaneous manufactured articles",618,392550000,1965
"Cereals and vegetable oils",70,"Food and live animals chiefly for food",700,1118000,1965
"Cereals and vegetable oils",70,"Crude materials, inedible, except fuels",702,108000,1965
"Cereals and vegetable oils",70,"Animal and vegetable oils, fats and waxes",704,4194000,1965
"Cereals and vegetable oils",70,"Chemicals and related products, n.e.s.",705,1445000,1965
"Cotton, rice, soy beans and others",71,"Food and live animals chiefly for food",710,2573000,1965
"Cotton, rice, soy beans and others",71,"Crude materials, inedible, except fuels",712,13098000,1965
"Cotton, rice, soy beans and others",71,"Animal and vegetable oils, fats and waxes",714,37000,1965
"Cotton, rice, soy beans and others",71,"Manufactured goods classified chiefly by material",716,1214000,1965
"Tropical treecrops and flowers",72,"Food and live animals chiefly for food",720,53200000,1965
"Tropical treecrops and flowers",72,"Crude materials, inedible, except fuels",722,3840000,1965
"Tropical treecrops and flowers",72,"Animal and vegetable oils, fats and waxes",724,1794000,1965
"Tobacco",73,"Beverages and tobacco",731,18208000,1965
"Tobacco",73,"Crude materials, inedible, except fuels",732,575000,1965
"Fruit",74,"Food and live animals chiefly for food",740,4125000,1965
"Misc Agriculture",75,"Food and live animals chiefly for food",750,16118000,1965
"Misc Agriculture",75,"Crude materials, inedible, except fuels",752,8573000,1965
"Fish & Seafood",80,"Food and live animals chiefly for food",800,240828000,1965
"Fish & Seafood",80,"Crude materials, inedible, except fuels",802,775000,1965
"Fish & Seafood",80,"Animal and vegetable oils, fats and waxes",804,31263000,1965
"Meat and eggs",81,"Food and live animals chiefly for food",810,11492000,1965
"Meat and eggs",81,"Animal and vegetable oils, fats and waxes",814,1272000,1965
"Meat and eggs",81,"Manufactured goods classified chiefly by material",816,333000,1965
"Animal Fibers",82,"Crude materials, inedible, except fuels",822,9557000,1965
"Animal Fibers",82,"Manufactured goods classified chiefly by material",826,49630000,1965
"Milk & cheese",83,"Food and live animals chiefly for food",830,1352000,1965
"Milk & cheese",83,"Crude materials, inedible, except fuels",832,2832000,1965
"Milk & cheese",83,"Chemicals and related products, n.e.s.",835,1445000,1965
"Leather",84,"Crude materials, inedible, except fuels",842,5120000,1965
"Leather",84,"Manufactured goods classified chiefly by material",846,4289000,1965
"Not classified",90,"Crude materials, inedible, except fuels",902,60554000,1965
"Not classified",90,"Mineral fuels, lubricants and related materials",903,952000,1965
"Not classified",90,"Chemicals and related products, n.e.s.",905,1674000,1965
"Not classified",90,"Manufactured goods classified chiefly by material",906,29216000,1965
"Not classified",90,"Machinery and transport equipment",907,4071000,1965
"Not classified",90,"Miscellaneous manufactured articles",908,58998000,1965
"Not classified",90,"Commodities and transactions not classified elsewhere in the SITC",909,70001000,1965
