"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,524000,1976
"Machinery",10,"Manufactured goods classified chiefly by material",106,41120000,1976
"Machinery",10,"Machinery and transport equipment",107,688282000,1976
"Machinery",10,"Miscellaneous manufactured articles",108,8619000,1976
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,4541000,1976
"Electronics",11,"Manufactured goods classified chiefly by material",116,184000,1976
"Electronics",11,"Machinery and transport equipment",117,227638000,1976
"Electronics",11,"Miscellaneous manufactured articles",118,13552000,1976
"Aircraft",12,"Manufactured goods classified chiefly by material",126,202000,1976
"Aircraft",12,"Machinery and transport equipment",127,9687000,1976
"Boilers",13,"Manufactured goods classified chiefly by material",136,7760000,1976
"Boilers",13,"Machinery and transport equipment",137,4695000,1976
"Boilers",13,"Miscellaneous manufactured articles",138,3930000,1976
"Ships",14,"Chemicals and related products, n.e.s.",145,6577000,1976
"Ships",14,"Machinery and transport equipment",147,10736000,1976
"Metal products",15,"Crude materials, inedible, except fuels",152,2165000,1976
"Metal products",15,"Chemicals and related products, n.e.s.",155,1273000,1976
"Metal products",15,"Manufactured goods classified chiefly by material",156,233663000,1976
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,120235000,1976
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,158839000,1976
"Construction materials and equipment",20,"Machinery and transport equipment",207,15343000,1976
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,18039000,1976
"Home and office products",21,"Manufactured goods classified chiefly by material",216,28958000,1976
"Home and office products",21,"Machinery and transport equipment",217,2531000,1976
"Home and office products",21,"Miscellaneous manufactured articles",218,4076000,1976
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,32708000,1976
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,63000,1976
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,11043000,1976
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,297000,1976
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,5146000,1976
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,28019000,1976
"Food Processing",31,"Food and live animals chiefly for food",310,227456000,1976
"Food Processing",31,"Beverages and tobacco",311,298000,1976
"Food Processing",31,"Crude materials, inedible, except fuels",312,0,1976
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,1440000,1976
"Food Processing",31,"Manufactured goods classified chiefly by material",316,1503000,1976
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,610000,1976
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,1000,1976
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,6356000,1976
"Other Chemicals",42,"Food and live animals chiefly for food",420,8321000,1976
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,2000,1976
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,40000,1976
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,13773000,1976
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,2226000,1976
"Other Chemicals",42,"Miscellaneous manufactured articles",428,8291000,1976
"Agrochemicals",43,"Food and live animals chiefly for food",430,236388000,1976
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,16000,1976
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,0,1976
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,995000,1976
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,2699000,1976
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,8177000,1976
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,72185000,1976
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,18955000,1976
"Chemicals and health related products",44,"Machinery and transport equipment",447,397000,1976
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,15965000,1976
"Coal",50,"Mineral fuels, lubricants and related materials",503,4000,1976
"Mining",51,"Crude materials, inedible, except fuels",512,1725281000,1976
"Mining",51,"Chemicals and related products, n.e.s.",515,3639000,1976
"Mining",51,"Manufactured goods classified chiefly by material",516,2849000,1976
"Mining",51,"Miscellaneous manufactured articles",518,5445000,1976
"Oil",52,"Mineral fuels, lubricants and related materials",523,189206000,1976
"Precious Stones",54,"Crude materials, inedible, except fuels",542,255000,1976
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,62065000,1976
