"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,11579224,2006
"Machinery",10,"Manufactured goods classified chiefly by material",106,2286092626,2006
"Machinery",10,"Machinery and transport equipment",107,21930722956,2006
"Machinery",10,"Miscellaneous manufactured articles",108,293705492,2006
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,59765879,2006
"Electronics",11,"Manufactured goods classified chiefly by material",116,43084331,2006
"Electronics",11,"Machinery and transport equipment",117,4509096768,2006
"Electronics",11,"Miscellaneous manufactured articles",118,155872574,2006
"Aircraft",12,"Manufactured goods classified chiefly by material",126,6801354,2006
"Aircraft",12,"Machinery and transport equipment",127,3389700197,2006
"Boilers",13,"Manufactured goods classified chiefly by material",136,882840836,2006
"Boilers",13,"Machinery and transport equipment",137,261391284,2006
"Boilers",13,"Miscellaneous manufactured articles",138,48081807,2006
"Ships",14,"Chemicals and related products, n.e.s.",145,35513530,2006
"Ships",14,"Machinery and transport equipment",147,146275066,2006
"Metal products",15,"Crude materials, inedible, except fuels",152,2071532,2006
"Metal products",15,"Chemicals and related products, n.e.s.",155,27552625,2006
"Metal products",15,"Manufactured goods classified chiefly by material",156,7901979344,2006
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,1703683723,2006
"Construction materials and equipment",20,"Mineral fuels, lubricants and related materials",203,68647977,2006
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,3707827807,2006
"Construction materials and equipment",20,"Machinery and transport equipment",207,809582009,2006
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,1080380437,2006
"Home and office products",21,"Manufactured goods classified chiefly by material",216,384023040,2006
"Home and office products",21,"Machinery and transport equipment",217,2129473,2006
"Home and office products",21,"Miscellaneous manufactured articles",218,111122341,2006
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,3217065035,2006
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,82099433,2006
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,972762794,2006
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,10716494,2006
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,50071468,2006
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,1617425993,2006
"Food Processing",31,"Food and live animals chiefly for food",310,2866470353,2006
"Food Processing",31,"Beverages and tobacco",311,17583799,2006
"Food Processing",31,"Crude materials, inedible, except fuels",312,2284430,2006
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,32678224,2006
"Food Processing",31,"Manufactured goods classified chiefly by material",316,79535712,2006
"Food Processing",31,"Miscellaneous manufactured articles",318,106546188,2006
