"Category","Category ID","Section","Section ID","Trade Value","Year"
"Machinery",10,"Chemicals and related products, n.e.s.",105,424000,1967
"Machinery",10,"Manufactured goods classified chiefly by material",106,2653000,1967
"Machinery",10,"Machinery and transport equipment",107,21507000,1967
"Machinery",10,"Miscellaneous manufactured articles",108,280000,1967
"Machinery",10,"Commodities and transactions not classified elsewhere in the SITC",109,1278000,1967
"Electronics",11,"Manufactured goods classified chiefly by material",116,5000,1967
"Electronics",11,"Machinery and transport equipment",117,19165000,1967
"Electronics",11,"Miscellaneous manufactured articles",118,678000,1967
"Aircraft",12,"Machinery and transport equipment",127,683000,1967
"Boilers",13,"Manufactured goods classified chiefly by material",136,627000,1967
"Boilers",13,"Machinery and transport equipment",137,284000,1967
"Boilers",13,"Miscellaneous manufactured articles",138,33000,1967
"Ships",14,"Chemicals and related products, n.e.s.",145,31000,1967
"Ships",14,"Machinery and transport equipment",147,6953000,1967
"Metal products",15,"Crude materials, inedible, except fuels",152,2829000,1967
"Metal products",15,"Chemicals and related products, n.e.s.",155,0,1967
"Metal products",15,"Manufactured goods classified chiefly by material",156,46598000,1967
"Construction materials and equipment",20,"Crude materials, inedible, except fuels",202,83708000,1967
"Construction materials and equipment",20,"Manufactured goods classified chiefly by material",206,16816000,1967
"Construction materials and equipment",20,"Machinery and transport equipment",207,621000,1967
"Construction materials and equipment",20,"Miscellaneous manufactured articles",208,578000,1967
"Home and office products",21,"Manufactured goods classified chiefly by material",216,2892000,1967
"Home and office products",21,"Machinery and transport equipment",217,8000,1967
"Home and office products",21,"Miscellaneous manufactured articles",218,296000,1967
"Pulp and paper",22,"Crude materials, inedible, except fuels",222,1806000,1967
"Pulp and paper",22,"Chemicals and related products, n.e.s.",225,0,1967
"Pulp and paper",22,"Manufactured goods classified chiefly by material",226,18000,1967
"Beer, Spirits and cigarrettes",30,"Food and live animals chiefly for food",300,1000,1967
"Beer, Spirits and cigarrettes",30,"Beverages and tobacco",301,1340000,1967
"Beer, Spirits and cigarrettes",30,"Chemicals and related products, n.e.s.",305,5075000,1967
"Food Processing",31,"Food and live animals chiefly for food",310,15568000,1967
"Food Processing",31,"Beverages and tobacco",311,10000,1967
"Food Processing",31,"Crude materials, inedible, except fuels",312,3000,1967
"Food Processing",31,"Animal and vegetable oils, fats and waxes",314,0,1967
"Food Processing",31,"Manufactured goods classified chiefly by material",316,4000,1967
"Petrochemicals",40,"Crude materials, inedible, except fuels",402,1000,1967
"Petrochemicals",40,"Manufactured goods classified chiefly by material",406,2000,1967
"Inorganic salts and acids",41,"Crude materials, inedible, except fuels",412,0,1967
"Inorganic salts and acids",41,"Chemicals and related products, n.e.s.",415,171000,1967
"Other Chemicals",42,"Food and live animals chiefly for food",420,1409000,1967
"Other Chemicals",42,"Crude materials, inedible, except fuels",422,41000,1967
"Other Chemicals",42,"Mineral fuels, lubricants and related materials",423,7000,1967
"Other Chemicals",42,"Chemicals and related products, n.e.s.",425,2793000,1967
"Other Chemicals",42,"Manufactured goods classified chiefly by material",426,85000,1967
"Other Chemicals",42,"Miscellaneous manufactured articles",428,68000,1967
"Agrochemicals",43,"Food and live animals chiefly for food",430,28566000,1967
"Agrochemicals",43,"Crude materials, inedible, except fuels",432,8000,1967
"Agrochemicals",43,"Mineral fuels, lubricants and related materials",433,5000,1967
"Agrochemicals",43,"Chemicals and related products, n.e.s.",435,253000,1967
"Chemicals and health related products",44,"Crude materials, inedible, except fuels",442,3566000,1967
"Chemicals and health related products",44,"Mineral fuels, lubricants and related materials",443,1189000,1967
"Chemicals and health related products",44,"Chemicals and related products, n.e.s.",445,14595000,1967
"Chemicals and health related products",44,"Manufactured goods classified chiefly by material",446,282000,1967
"Chemicals and health related products",44,"Machinery and transport equipment",447,12000,1967
"Chemicals and health related products",44,"Miscellaneous manufactured articles",448,478000,1967
"Coal",50,"Mineral fuels, lubricants and related materials",503,0,1967
"Mining",51,"Crude materials, inedible, except fuels",512,232365000,1967
"Mining",51,"Chemicals and related products, n.e.s.",515,241000,1967
"Mining",51,"Manufactured goods classified chiefly by material",516,481000,1967
"Mining",51,"Miscellaneous manufactured articles",518,888000,1967
"Oil",52,"Mineral fuels, lubricants and related materials",523,544000,1967
"Precious Stones",54,"Crude materials, inedible, except fuels",542,171000,1967
"Precious Stones",54,"Manufactured goods classified chiefly by material",546,15707000,1967
"Processed minerals",57,"Crude materials, inedible, except fuels",572,5015000,1967
